,R-Value Area Average (IP),EUI,Heating,Cooling,VAV Sys Fans,Pumps
15,38.34,303.165,15.425,112.925,6.357,1.124
14,36.68,303.184,15.945,112.46,6.327,1.12
13,35.96,303.205,16.202,112.239,6.313,1.119
12,35.27,303.238,16.456,112.032,6.301,1.117
11,34.57,303.301,16.712,111.85,6.29,1.116
10,33.67,303.374,17.076,111.577,6.275,1.114
9,32.64,303.481,17.524,111.256,6.257,1.112
8,31.44,303.643,18.094,110.871,6.236,1.109
7,30.02,303.895,18.842,110.403,6.211,1.106
6,28.3,304.393,19.924,109.852,6.181,1.103
5,26.21,305.293,21.509,109.205,6.147,1.099
4,23.57,307.014,24.017,108.461,6.106,1.097
3,20.14,310.629,28.505,107.634,6.06,1.097
2,15.42,319.855,38.371,107.006,6.034,1.112
1,14.7,323.706,42.482,106.76,6.015,1.116
0,12.97,329.765,48.078,107.179,6.043,1.132
16,9.47,352.218,68.565,108.983,6.144,1.193
