,R-Value Area Average (IP),EUI,Heating,Cooling,VAV Sys Fans,Pumps
16,9.47,314.816,14.913,124.594,6.763,1.214
0,12.97,315.528,11.673,128.279,6.995,1.248
1,14.7,316.847,11.597,129.569,7.086,1.262
2,15.42,317.121,10.583,130.769,7.163,1.273
3,20.14,319.142,9.293,133.845,7.368,1.304
4,23.57,320.622,8.805,135.667,7.496,1.322
5,26.21,321.689,8.563,136.874,7.585,1.334
6,28.3,322.475,8.421,137.728,7.651,1.343
7,30.02,323.083,8.325,138.374,7.702,1.35
8,31.44,323.557,8.257,138.87,7.743,1.355
9,32.64,323.936,8.206,139.263,7.776,1.359
10,33.67,324.247,8.166,139.583,7.803,1.362
11,34.57,324.509,8.135,139.851,7.826,1.365
12,35.27,324.675,8.117,140.018,7.841,1.366
13,35.96,324.872,8.096,140.216,7.858,1.368
14,36.68,325.069,8.077,140.413,7.876,1.37
15,38.34,325.512,8.036,140.853,7.915,1.375
